No.,Time,Source,Destination,Protocol,Length,Info
16,0.372203,192.168.0.135,144.195.22.182,UDP,123,63136  >  8801 Len=81
17,0.381684,144.195.22.182,192.168.0.135,UDP,133,8801  >  63136 Len=91
18,0.38183,192.168.0.135,144.195.22.182,UDP,151,63136  >  8801 Len=109
19,0.400787,144.195.22.182,192.168.0.135,UDP,123,8801  >  63136 Len=81
25,1.04126,192.168.0.135,144.195.22.182,UDP,123,56275  >  8801 Len=81
26,1.041302,192.168.0.135,144.195.22.182,UDP,123,64916  >  8801 Len=81
27,1.049666,144.195.22.182,192.168.0.135,UDP,133,8801  >  56275 Len=91
28,1.049667,144.195.22.182,192.168.0.135,UDP,133,8801  >  64916 Len=91
29,1.049823,192.168.0.135,144.195.22.182,UDP,151,56275  >  8801 Len=109
30,1.049859,192.168.0.135,144.195.22.182,UDP,151,64916  >  8801 Len=109
31,1.071138,144.195.22.182,192.168.0.135,UDP,123,8801  >  64916 Len=81
32,1.072236,144.195.22.182,192.168.0.135,UDP,123,8801  >  56275 Len=81
73,4.12231,192.168.0.135,144.195.22.182,UDP,123,63136  >  8801 Len=81
74,4.129175,144.195.22.182,192.168.0.135,UDP,133,8801  >  63136 Len=91
75,4.129283,192.168.0.135,144.195.22.182,UDP,151,63136  >  8801 Len=109
76,4.149906,144.195.22.182,192.168.0.135,UDP,123,8801  >  63136 Len=81
77,4.787049,192.168.0.135,144.195.22.182,UDP,123,56275  >  8801 Len=81
78,4.788238,144.195.22.182,192.168.0.135,UDP,133,8801  >  56275 Len=91
79,4.788377,192.168.0.135,144.195.22.182,UDP,151,56275  >  8801 Len=109
80,4.798851,192.168.0.135,144.195.22.182,UDP,123,64916  >  8801 Len=81
81,4.809066,144.195.22.182,192.168.0.135,UDP,133,8801  >  64916 Len=91
82,4.809181,192.168.0.135,144.195.22.182,UDP,151,64916  >  8801 Len=109
83,4.815012,144.195.22.182,192.168.0.135,UDP,123,8801  >  56275 Len=81
84,4.82689,144.195.22.182,192.168.0.135,UDP,123,8801  >  64916 Len=81
